District Name,Score,Score-normalized,Score-mu,Score-standardized
Şişli,6.959,1.000,0.000,3.206
Beşiktaş,5.940,0.838,0.162,2.476
Kadıköy,4.910,0.673,0.327,1.738
Bakırköy,4.465,0.603,0.397,1.419
Fatih,4.226,0.564,0.436,1.247
Ataşehir,3.545,0.456,0.544,0.759
Başakşehir,3.468,0.444,0.556,0.704
Beyoğlu,3.394,0.432,0.568,0.651
Ümraniye,3.364,0.427,0.573,0.629
Sarıyer,3.249,0.409,0.591,0.547
Üsküdar,3.045,0.376,0.624,0.401
Tuzla,2.730,0.326,0.674,0.175
Maltepe,2.685,0.319,0.681,0.143
Beylikdüzü,2.503,0.290,0.710,0.012
Pendik,2.485,0.287,0.713,-0.001
Esenyurt,2.479,0.286,0.714,-0.005
Bahçelievler,2.423,0.277,0.723,-0.045
Zeytinburnu,2.382,0.271,0.729,-0.074
Bağcılar,2.346,0.265,0.735,-0.100
Kartal,2.321,0.261,0.739,-0.118
Bayrampaşa,2.266,0.252,0.748,-0.158
Kağıthane,2.174,0.237,0.763,-0.223
Küçükçekmece,2.161,0.235,0.765,-0.233
Güngören,1.920,0.197,0.803,-0.406
Büyükçekmece,1.891,0.192,0.808,-0.426
Eyüpsultan,1.839,0.184,0.816,-0.464
Adalar,1.822,0.181,0.819,-0.476
Beykoz,1.732,0.167,0.833,-0.540
Avcılar,1.640,0.152,0.848,-0.606
Gaziosmanpaşa,1.460,0.124,0.876,-0.735
Çekmeköy,1.450,0.122,0.878,-0.742
Esenler,1.354,0.107,0.893,-0.811
Silivri,1.312,0.100,0.900,-0.841
Sancaktepe,1.275,0.094,0.906,-0.868
Sultangazi,0.816,0.021,0.979,-1.197
Arnavutköy,0.771,0.014,0.986,-1.229
Çatalca,0.761,0.012,0.988,-1.236
Şile,0.698,0.002,0.998,-1.281
Sultanbeyli,0.684,0.000,1.000,-1.291