District Name,Multiplier Period-0,Multiplier Period-1,Multiplier Period-2,Multiplier Period-3,Multiplier Period-4,Multiplier Period-5,Multiplier Period-6
Şişli,0.00135,0.02275,0.15866,0.5,0.84134,0.97725,0.99865
Beşiktaş,0.00078,0.01531,0.12262,0.43565,0.79898,0.96697,0.99773
Kadıköy,0.00044,0.00998,0.09225,0.37183,0.74953,0.95284,0.99624
Bakırköy,0.00034,0.00826,0.08121,0.34568,0.72675,0.94553,0.99538
Fatih,0.0003,0.00743,0.0755,0.33142,0.71362,0.94109,0.99483
Ataşehir,0.0002,0.00548,0.06129,0.29322,0.67581,0.9273,0.99298
Başakşehir,0.00019,0.00529,0.05985,0.28911,0.67148,0.92563,0.99274
Beyoğlu,0.00018,0.00511,0.05844,0.28502,0.66713,0.92393,0.99249
Ümraniye,0.00018,0.00504,0.05786,0.28332,0.66531,0.92321,0.99239
Sarıyer,0.00016,0.00478,0.0558,0.27726,0.65873,0.92058,0.992
Üsküdar,0.00015,0.00435,0.05219,0.26631,0.64654,0.91559,0.99125
Tuzla,0.00012,0.00375,0.04707,0.25016,0.62779,0.90758,0.98999
Maltepe,0.00012,0.00367,0.04638,0.24794,0.62514,0.90642,0.9898
Beylikdüzü,0.0001,0.00336,0.04363,0.23885,0.61409,0.90147,0.98899
Pendik,0.0001,0.00333,0.04336,0.23792,0.61294,0.90095,0.9889
Esenyurt,0.0001,0.00332,0.04326,0.23761,0.61256,0.90078,0.98887
Bahçelievler,0.0001,0.00323,0.04244,0.23484,0.60911,0.8992,0.98861
Zeytinburnu,0.0001,0.00318,0.0419,0.233,0.6068,0.89814,0.98843
Bağcılar,9E-05,0.00312,0.04137,0.23117,0.6045,0.89706,0.98824
Kartal,9E-05,0.00308,0.04102,0.22995,0.60295,0.89635,0.98812
Bayrampaşa,9E-05,0.003,0.04023,0.22723,0.59948,0.89472,0.98784
Kağıthane,8E-05,0.00286,0.03895,0.22273,0.59367,0.89196,0.98736
Küçükçekmece,8E-05,0.00285,0.03878,0.22214,0.5929,0.89158,0.98729
Güngören,7E-05,0.00253,0.03569,0.21099,0.57809,0.88435,0.98599
Büyükçekmece,7E-05,0.00249,0.0353,0.20955,0.57613,0.88337,0.98581
Eyüpsultan,7E-05,0.00243,0.03469,0.20725,0.57299,0.88179,0.98552
Adalar,7E-05,0.00241,0.03446,0.20639,0.57182,0.8812,0.98541
Beykoz,6E-05,0.00231,0.0334,0.20242,0.56631,0.87839,0.98488
Avcılar,6E-05,0.0022,0.0323,0.19822,0.56041,0.87534,0.9843
Gaziosmanpaşa,5E-05,0.00201,0.03033,0.19052,0.54934,0.86949,0.98316
Çekmeköy,5E-05,0.002,0.03019,0.18997,0.54855,0.86907,0.98308
Esenler,5E-05,0.00191,0.02918,0.18593,0.54261,0.86585,0.98244
Silivri,5E-05,0.00187,0.02872,0.18406,0.53983,0.86433,0.98214
Sancaktepe,5E-05,0.00183,0.02833,0.18247,0.53745,0.86302,0.98187
Sultangazi,3E-05,0.00145,0.02391,0.16379,0.50838,0.84637,0.97836
Arnavutköy,3E-05,0.00141,0.02352,0.16207,0.50559,0.84471,0.978
Çatalca,3E-05,0.0014,0.02341,0.16158,0.50479,0.84423,0.97789
Şile,3E-05,0.00136,0.02286,0.15914,0.5008,0.84183,0.97736
Sultanbeyli,3E-05,0.00135,0.02275,0.15866,0.5,0.84134,0.97725